Garage_Cars,Gr_Liv_Area,Total_Bsmt_SF,Exter_Qual_Typical,First_Flr_SF,Year_Built,Second_Flr_SF,Fireplace_Qu_No_Fireplace,Wood_Deck_SF,Central_Air_Y
1,1938,942,1,1265,1937,673,0,0,1
0,1355,684,1,773,1914,582,1,136,1
1,1041,1041,1,1041,1958,0,1,0,1
1,1032,1032,1,1032,1924,0,1,0,0
1,694,440,1,694,1913,0,0,0,0
2,2411,1008,1,1403,1970,1008,0,0,1
1,925,923,1,925,1955,0,0,81,1
2,1392,1392,1,1392,1957,0,0,0,1
1,864,864,1,864,1959,0,1,0,1
2,1593,808,1,808,1992,785,0,342,1
1,845,845,1,845,1982,0,1,0,1
1,1107,629,1,727,1921,380,1,0,1
2,1145,1145,0,1145,2006,0,1,100,1
1,1150,1150,1,1150,1959,0,1,0,1
1,936,624,1,624,1948,312,1,0,1
2,1496,768,0,768,2007,728,1,100,1
2,1656,1080,1,1656,1960,0,0,210,1
2,1404,672,0,684,1999,720,1,20,1
0,672,432,1,672,1925,0,1,0,0
2,1608,945,1,945,1997,663,0,252,1
2,1463,1463,1,1463,1998,0,1,0,1
2,1283,931,1,1283,1962,0,1,0,1
2,1689,1689,0,1689,2006,0,1,100,1
2,1733,847,0,847,2003,886,0,100,1
1,1196,1196,1,1196,1956,0,0,0,1
1,793,793,1,793,1945,0,1,0,1
1,1364,1179,1,1364,1957,0,0,0,1
2,1281,756,1,903,1926,378,1,25,1
1,1324,741,1,741,1930,583,1,0,1
2,1753,853,0,853,1998,900,0,0,1
1,1008,1008,1,1008,1968,0,1,144,1
4,2840,1420,0,1420,1978,1420,0,0,1
2,5642,6110,0,4692,2008,950,0,214,1
3,2385,1066,0,1108,1998,1277,0,120,1
2,864,864,1,864,1955,0,1,196,1
1,2068,1108,1,1160,1922,908,0,0,0
2,2132,1496,0,1496,1983,636,0,349,1
1,1605,840,0,840,1915,765,1,0,0
1,894,894,1,894,1965,0,0,416,1
1,1056,1056,1,1056,1955,0,1,0,1
2,960,850,0,960,1926,0,1,0,1
3,2212,1700,0,1700,2005,512,0,237,1
2,1478,1418,1,1478,1998,0,1,168,1
2,1040,1040,0,1040,1967,0,0,0,1
1,2057,1017,0,1020,1936,1037,0,0,1
2,1556,782,1,1019,1949,537,0,0,1
2,1797,1152,0,1152,1993,645,0,162,1
2,1280,1280,0,1280,1992,0,1,0,1
2,1342,1342,0,1342,2006,0,0,0,1
3,1698,1698,0,1698,2007,0,0,327,1
2,1351,901,1,901,1925,450,0,0,1
1,810,0,0,810,1910,0,1,119,0
1,520,520,1,520,1927,0,1,49,0
1,952,756,0,952,1896,0,1,0,1
2,2240,0,1,1120,1979,1120,1,154,1
1,1382,1382,1,1382,1955,0,1,280,1
2,1884,926,0,1016,2003,868,0,0,1
2,1484,783,0,783,2005,701,0,0,1
2,1262,1262,0,1262,2006,0,1,0,1
2,1400,672,1,672,1978,728,0,0,1
2,1242,1242,1,1242,1973,0,0,0,1
3,1950,1950,0,1950,2007,0,0,156,1
2,1316,926,1,926,1929,0,1,0,1
3,2042,2042,0,2042,2008,0,0,0,1
3,2365,1252,0,1268,1999,1097,0,0,1
1,1566,930,0,930,1900,636,1,54,0
0,1248,624,1,624,1920,624,1,0,0
1,1159,747,1,747,1925,412,1,84,1
1,1652,686,1,966,1915,686,1,0,1
3,1710,1710,0,1710,2007,0,0,0,1
2,1588,768,1,1024,1955,564,1,0,1
1,1387,943,1,1387,1967,0,0,0,1
1,938,938,1,938,1975,0,1,145,1
1,1024,1024,1,1024,1965,0,1,0,1
2,1535,0,1,1535,1979,0,1,0,1
1,984,984,1,984,1963,0,0,145,1
2,1848,833,1,1053,1923,795,0,0,1
2,1686,1686,1,1686,1980,0,0,384,1
2,1389,1389,1,1389,1974,0,0,240,1
0,1664,0,1,1664,1965,0,1,0,0
2,1430,384,1,774,1999,656,0,0,1
1,894,894,1,894,1962,0,1,0,0
1,1098,1098,1,1098,1955,0,1,0,1
2,1684,1684,0,1684,2005,0,0,495,1
2,1729,860,0,860,2002,869,1,386,1
1,1382,0,1,1382,1949,0,0,0,1
2,1328,1328,1,1328,1963,0,0,0,1
2,1365,765,1,765,1973,600,0,0,1
2,1824,1824,1,1824,1957,0,1,0,1
2,1121,1121,1,1121,2003,0,1,132,1
1,864,864,1,864,1972,0,1,0,1
1,1107,949,1,1107,1967,0,1,88,1
3,4476,2396,0,2411,1996,2065,0,171,1
2,2462,1392,0,1392,2005,1070,0,239,1
1,1160,1113,1,1160,1968,0,1,81,1
2,2872,1683,0,2129,1992,743,0,0,1
2,1128,698,1,698,1920,430,1,30,1
2,1258,1246,0,1258,2007,0,1,0,1
2,1179,1179,1,1179,1960,0,1,0,1
2,1484,1476,0,1484,2006,0,0,120,1
2,1226,1226,0,1226,1981,0,0,133,1
3,3078,1408,0,1671,1998,1407,0,108,1
2,1524,756,0,768,2000,756,1,0,1
2,2136,2136,1,2136,1951,0,1,0,0
1,1672,981,1,1014,1940,658,0,0,1
2,2337,662,1,1422,1900,915,1,0,0
1,1651,725,1,1035,1963,616,0,460,1
1,2192,720,1,1052,1939,720,0,262,1
2,848,848,0,848,2004,0,1,160,1
1,1738,715,1,1281,1920,457,0,55,1
2,1792,896,1,896,1974,896,1,0,1
1,1647,806,1,841,1915,806,1,0,0
2,2090,1220,0,1220,1995,870,0,0,1
2,1801,1501,1,1801,1959,0,0,0,1
1,1507,1075,1,1507,1960,0,1,0,1
1,960,648,1,960,1965,0,1,88,1
3,3238,2033,0,2053,1995,1185,0,283,1
2,1330,1330,0,1330,2006,0,0,0,1
1,1125,1041,1,1125,1976,0,0,296,1
3,1464,1485,0,1464,2007,0,1,168,1
2,1995,854,0,864,2002,1131,0,264,1
2,756,660,1,756,1927,0,1,80,0
2,2232,1173,0,1215,1993,1017,0,173,1
1,1214,969,1,969,1901,245,1,0,0
1,1256,1256,1,1256,1959,0,1,0,1
1,1536,768,1,768,1952,768,1,0,1
2,1721,988,1,1721,1960,0,0,50,1
2,1633,932,1,932,1998,701,0,0,1
1,990,990,1,990,1994,0,1,66,1
2,1795,1777,0,1795,2002,0,0,171,1
2,2050,832,1,1154,1978,896,0,192,1
3,2392,1396,0,1407,1997,985,0,0,1
1,897,876,1,897,1968,0,1,0,1
3,1816,1790,0,1816,2006,0,0,186,1
3,2758,1704,0,1722,2005,1036,0,282,1
1,1616,1149,1,1149,1926,467,1,0,1
1,1944,672,1,1272,1915,672,1,24,1
2,1478,1470,0,1478,2009,0,0,0,1
2,2620,1361,1,1361,1977,1259,0,155,1
3,2153,1440,0,1476,2000,677,0,253,1
1,1242,583,1,647,1935,595,0,329,1
2,1392,1392,1,1392,1957,0,0,0,1
2,2094,912,0,912,2003,1182,0,182,1
1,1202,1202,1,1202,1956,0,1,0,1
2,2268,346,0,1157,1890,1111,1,0,1
1,1163,1162,1,1163,1955,0,1,142,1
2,1086,723,0,723,1920,363,1,0,0
2,1906,1310,1,1906,1954,0,0,0,1
1,789,789,1,789,1948,0,1,0,1
1,1012,1012,1,1012,1920,0,0,0,1
2,2058,735,1,1134,1917,924,0,0,0
2,1074,894,1,1074,1956,0,0,0,1
2,1292,1292,1,1292,1964,0,0,0,1
2,848,848,0,848,2003,0,1,140,1
1,988,988,1,988,1958,0,1,0,1
2,1425,1425,1,1425,1964,0,0,0,1
2,1822,1105,1,1105,1984,717,0,0,1
1,1654,297,1,1001,1930,653,0,244,1
3,2098,1030,0,1038,2005,1060,0,192,1
1,1393,816,1,872,1955,521,1,121,1
3,3608,1107,0,1518,1892,1518,0,0,1
2,1004,1004,1,1004,1970,0,0,0,1
1,1118,1096,1,1118,1977,0,0,203,1
2,1056,1056,1,1056,1980,0,1,264,1
2,768,768,1,768,1972,0,1,58,1
2,1196,684,1,684,1920,512,1,0,1
1,1984,1242,1,1242,1910,742,1,64,1
2,1053,1008,1,1053,1958,0,1,0,1
3,1629,3206,0,1629,2003,0,0,0,1
2,1844,1844,0,1844,1969,0,0,0,1
2,1851,1851,1,1851,1969,0,0,0,1
2,964,876,1,964,1921,0,1,0,1
3,1838,1838,0,1838,2005,0,0,161,1
2,1005,1005,1,1005,1964,0,1,0,1
2,1560,1560,0,1560,2003,0,1,100,1
2,1332,1332,0,1332,1990,0,1,0,1
2,1151,1141,0,1151,2006,0,1,0,1
0,605,528,1,605,1920,0,1,0,1
2,1044,540,0,1044,1952,0,1,0,0
1,864,864,1,864,1914,0,1,0,0
2,1944,972,1,972,1910,972,1,0,0
2,1646,1594,0,1646,2004,0,0,128,1
3,1646,1638,0,1646,2006,0,0,192,1
2,1768,1048,1,1048,1915,720,1,0,1
3,1852,1004,0,1004,1999,848,0,224,1
1,1489,778,1,944,1940,545,0,335,1
1,1952,976,1,976,1950,976,0,285,1
2,1169,1160,1,1169,1993,0,0,0,1
1,952,952,1,952,1956,0,1,0,1
2,1936,1406,0,1454,2000,482,0,188,1
2,1771,0,1,1771,1960,0,0,0,1
2,1341,1300,1,1341,1990,0,0,192,1
2,2034,1057,1,1057,1997,977,1,576,1
2,1224,1086,1,1224,1979,0,0,120,1
2,1852,900,1,932,2009,920,0,168,1
2,1074,1056,1,1074,1975,0,1,0,1
2,1548,804,1,804,1976,744,0,108,1
3,1614,1614,0,1614,2005,0,1,144,1
1,1426,912,0,912,1918,514,0,0,1
2,1144,1144,1,1144,1961,0,1,0,1
1,864,864,1,864,1961,0,0,132,1
2,1044,912,1,1044,1968,0,0,200,1
2,1200,1200,0,1200,1995,0,1,0,1
2,1868,780,1,1088,1976,780,0,448,1
2,1632,1632,1,1632,1967,0,1,0,1
2,894,864,1,894,1974,0,1,0,1
1,407,407,1,407,1946,0,1,76,0
2,1588,0,1,1120,1959,468,0,0,1
1,841,721,0,841,1950,0,1,250,1
1,892,864,1,892,1966,0,1,0,1
2,2322,1037,0,1037,1999,1285,0,144,1
1,898,833,1,898,1968,0,1,143,1
2,1616,1595,0,1616,1995,0,0,237,1
1,1383,1383,1,1383,1954,0,0,511,1
2,1214,1214,0,1214,2009,0,1,0,1
3,2690,1365,0,1365,2009,1325,0,0,1
1,1642,728,1,914,1927,728,0,0,1
2,1848,975,0,975,2000,873,0,280,1
1,1218,672,1,672,1973,546,1,0,1
1,1367,884,1,959,1931,408,0,0,1
2,1510,1510,1,1510,1967,0,1,0,1
2,1776,821,1,821,1996,955,0,286,1
2,1995,930,0,950,1995,1045,0,275,1
3,1977,982,0,982,2006,995,1,240,1
1,1141,1141,1,1141,1967,0,1,0,1
2,1323,780,1,948,1948,375,1,0,1
2,1381,1161,1,1381,1972,0,0,0,1
2,2495,1313,1,1313,1890,1182,0,0,1
2,1686,891,0,891,2005,795,1,144,1
2,1442,910,0,1442,1990,0,0,0,1
1,1150,799,1,799,1942,351,0,264,0
0,1396,660,0,1060,1951,336,1,0,0
1,1049,356,1,671,1910,378,1,0,0
2,1790,732,1,1012,1972,778,0,148,1
1,1306,992,1,1306,1957,0,1,0,1
2,1280,793,1,1280,1966,0,0,140,1
3,1868,1868,0,1868,2005,0,0,354,1
2,1680,1650,0,1680,1998,0,0,78,1
2,1008,923,1,1008,1977,0,0,201,1
2,1426,690,1,698,1977,728,1,252,1
1,2230,795,0,954,1912,795,1,0,0
1,1820,1026,1,1133,1925,687,1,0,1
2,1959,847,0,847,2004,1112,0,100,1
0,1884,707,1,942,1907,942,1,0,0
3,1629,1616,0,1629,2002,0,0,0,1
2,2898,1565,0,2898,1976,0,0,0,1
2,1338,520,0,1338,1983,0,0,0,1
2,1557,1374,0,1557,2003,0,0,143,1
1,968,656,1,968,1927,0,1,0,1
2,1680,1680,1,1680,1995,0,1,152,1
1,720,448,1,448,1900,272,1,0,1
1,864,576,1,864,1950,0,1,0,1
1,640,0,1,640,1945,0,1,0,0
2,1468,1468,0,1468,2005,0,0,0,1
2,1509,783,0,807,2002,702,0,100,1
2,1166,856,0,1166,2005,0,1,212,1
2,1026,1026,1,1026,1969,0,1,171,1
2,2067,752,1,1285,1974,782,0,297,1
2,1855,528,0,1094,1976,761,0,113,1
2,1594,1594,1,1594,1993,0,0,190,1
3,2063,2024,0,2063,1994,0,0,182,1
1,1040,1040,1,1040,1959,0,1,0,1
2,1214,1214,1,1214,1965,0,1,0,1
2,2521,942,1,1291,1973,1230,0,728,1
1,1162,728,0,728,1930,434,1,0,1
1,1092,525,1,525,1972,567,1,352,1
3,2042,1742,0,2042,2006,0,0,240,1
2,816,816,0,816,1963,0,1,106,0
1,1324,672,1,757,1936,567,1,0,1
2,990,990,1,990,1994,0,1,168,1
2,1550,1092,0,1112,2006,438,1,0,1
2,1656,801,1,1095,1940,561,1,187,1
2,944,0,1,944,1952,0,1,0,0
2,1472,1372,1,1472,1980,0,0,233,1
2,1482,384,1,812,1992,670,0,100,1
1,1521,910,1,910,1950,611,1,199,1
2,768,768,0,768,1930,0,1,0,1
2,1811,972,0,972,2002,839,0,225,1
2,1040,528,1,548,1936,492,1,306,1
3,1932,1932,0,1932,2008,0,0,0,1
2,1334,1350,1,1334,1977,0,0,0,1
2,1402,1402,0,1402,2008,0,1,205,1
1,1056,1056,1,1056,1954,0,1,390,1
3,2020,2020,0,2020,2008,0,0,192,1
2,1266,1266,0,1266,2007,0,0,100,1
2,1812,360,1,1032,1900,780,0,344,1
2,1675,841,1,892,1999,783,0,0,1
0,1928,686,1,948,1916,980,1,0,1
1,672,672,1,672,1941,0,1,0,1
1,808,808,1,808,1958,0,1,143,1
2,1427,1427,1,1427,1969,0,1,0,1
2,1682,1304,1,1682,1970,0,0,98,1
2,1316,750,1,960,1926,356,1,0,1
2,1716,858,1,858,1962,858,0,0,1
2,1902,0,1,1318,1978,584,1,0,1
2,1671,781,1,781,1995,890,0,0,1
1,960,960,1,960,1965,0,1,120,1
2,1844,1844,1,1844,1977,0,0,0,1
2,1694,1181,1,1390,1925,304,0,342,1
2,1536,1536,0,1536,2002,0,1,192,1
2,1262,1262,1,1262,1976,0,0,298,1
2,1348,660,1,660,1966,688,0,188,1
2,868,768,1,868,1971,0,1,138,1
1,988,462,1,526,1973,462,1,120,1
2,1830,1865,1,1830,1967,0,0,0,1
2,1396,608,0,608,2007,788,0,100,1
2,2199,1173,0,1182,1997,1017,0,0,1
0,866,686,1,866,1945,0,1,58,1
1,2320,1028,1,1436,1945,884,0,224,1
1,816,816,1,816,1938,0,0,0,1
0,1152,0,1,1152,1955,0,1,0,0
2,1492,738,0,738,2006,754,1,100,1
0,864,864,1,864,1975,0,1,0,0
2,1158,1158,1,1158,2004,0,1,0,1
2,1458,608,1,608,2006,850,1,100,1
2,1145,301,1,1145,1956,0,1,0,1
2,1884,1884,0,1884,2008,0,0,231,1
3,1726,1726,0,1726,2007,0,0,171,1
1,752,744,1,752,1984,0,1,353,1
1,1551,1058,1,1058,1938,493,1,0,1
3,2464,2418,0,2464,2007,0,0,358,1
1,1520,793,1,848,1932,672,1,0,1
2,1234,1234,0,1234,2007,0,1,0,1
1,954,920,1,954,1938,0,0,0,1
1,864,864,1,864,1962,0,1,0,1
2,1601,1271,1,1601,1978,0,0,0,1
2,864,864,1,864,1950,0,1,194,1
2,2217,2217,0,2217,1970,0,0,81,1
1,845,0,1,640,1939,0,1,48,1
2,2138,849,1,1075,1898,1063,1,40,0
2,2466,1580,0,1580,2004,886,0,159,1
2,1495,864,1,1064,1948,0,1,180,1
3,1624,1624,0,1624,1994,0,0,0,1
1,1178,859,1,859,1900,319,1,68,1
1,1675,1422,1,1675,1959,0,0,0,1
2,1809,945,0,945,2005,864,1,144,1
2,1080,1084,1,1080,1983,0,1,120,1
2,1337,1237,1,1337,1998,0,1,0,1
1,864,864,1,864,1972,0,1,0,1
2,1486,1486,1,1486,1964,0,1,0,1
1,1360,1104,1,1360,1969,0,0,160,1
1,1228,600,1,628,1918,600,0,0,1
1,913,814,1,913,1966,0,1,0,1
3,1820,910,1,910,1996,910,0,318,1
1,1612,988,1,1030,1950,582,1,0,1
2,1405,1405,0,1405,2003,0,0,136,1
2,2069,585,1,2069,1960,0,0,0,1
2,2256,952,0,980,2000,1276,0,224,1
2,1913,896,1,1172,1928,741,0,0,1
1,1236,1070,1,1236,1957,0,0,0,1
2,1120,744,1,792,1948,328,1,0,0
2,1632,784,0,784,1969,848,0,0,1
1,1469,756,1,756,1906,713,1,57,1
3,1588,1588,0,1588,2006,0,0,144,1
3,3447,728,1,1968,1935,1479,0,314,1
2,1512,756,0,756,2000,756,1,0,1
2,1470,680,1,680,1995,790,0,192,1
1,1008,1008,1,1008,1952,0,1,0,1
0,1484,742,1,742,1914,742,0,0,1
2,2640,932,1,1271,1967,1369,0,0,1
2,1327,1063,1,1327,1959,0,1,0,1
2,1126,1126,1,1126,1977,0,0,295,1
2,1254,1218,1,1254,1961,0,0,0,1
1,1142,160,1,1142,1958,0,0,0,1
2,1993,825,1,1097,1971,896,0,0,1
2,1040,1040,1,1040,1977,0,1,0,1
3,2392,2392,0,2392,2003,0,0,248,1
1,1158,862,1,950,1929,208,0,0,1
1,907,876,1,907,1977,0,1,0,1
2,1709,970,0,970,2004,739,1,0,1
1,1436,585,1,851,1921,585,0,184,0
1,1336,637,1,897,1920,439,1,0,1
2,1742,1742,0,1742,1985,0,0,114,1
2,1600,916,1,916,1997,684,0,100,1
1,1146,1083,1,1146,1963,0,0,345,1
2,950,984,1,950,1953,0,1,0,0
2,2177,1032,1,1102,1950,1075,1,0,1
1,1216,1216,1,1216,1969,0,1,0,1
2,1611,780,1,798,1964,813,1,328,1
1,1200,1200,1,1200,1923,0,1,0,1
2,1554,1554,0,1554,2006,0,0,156,1
2,1790,873,0,882,1999,908,1,0,1
1,1502,602,1,900,1923,602,0,96,1
3,1600,1566,0,1600,2007,0,0,0,1
2,1141,1141,0,1141,2006,0,1,182,1
3,1582,1582,0,1582,2007,0,1,209,1
1,1266,630,1,630,1980,636,0,340,1
2,3112,1360,0,1360,1918,1360,0,0,1
2,1646,1594,0,1646,2004,0,0,128,1
1,1520,1156,1,1520,1955,0,0,0,1
2,1596,784,0,784,2005,812,1,144,1
2,1370,1370,0,1370,2006,0,0,120,1
2,1376,768,1,752,1920,624,1,0,1
1,713,713,1,713,1930,0,1,0,1
1,912,912,1,912,1958,0,1,0,1
1,1092,1092,1,1092,1966,0,1,259,1
2,864,864,1,864,1961,0,1,0,1
1,1411,1204,1,1411,1955,0,0,278,1
2,1620,780,1,780,1969,840,1,208,1
2,1472,0,1,1472,1959,0,0,0,1
2,1471,729,1,742,1999,729,1,0,1
2,1734,1587,0,1734,1995,0,1,52,1
3,2349,1231,0,1251,1993,1098,0,32,1
2,1398,1398,0,1398,1990,0,1,0,1
2,1141,1141,0,1141,2005,0,1,0,1
2,1557,1557,0,1557,1999,0,0,124,1
2,1324,1324,0,1324,2006,0,0,0,1
2,1539,650,1,958,1904,581,0,70,1
0,936,216,1,576,1916,360,1,0,0
2,1456,728,0,728,2005,728,0,0,1
2,1100,1100,1,1100,1996,0,1,0,1
2,1252,1602,1,1252,1960,0,0,409,1
0,1464,504,0,764,1910,700,1,0,1
3,2855,1540,0,1540,2000,1315,0,247,1
2,1474,384,1,804,1995,670,0,120,1
2,1445,1445,0,1445,2004,0,1,0,1
0,630,630,1,630,1970,0,1,0,1
2,1069,1069,1,1069,1975,0,0,0,1
2,2144,1444,0,1444,1958,700,0,0,1
2,1640,798,0,798,2004,842,1,138,1
3,2172,1063,0,1071,2006,1101,0,192,1
2,759,451,1,759,1912,0,1,40,1
2,990,990,1,990,1995,0,1,224,1
3,1962,1391,0,1391,2006,571,1,0,1
1,1013,992,1,1013,1926,0,1,0,1
2,1838,732,0,734,2005,1104,0,100,1
2,1306,1306,0,1306,2005,0,0,170,1
1,1608,976,1,1160,1925,448,0,147,1
2,2715,1142,0,1175,1976,1540,0,0,1
1,984,936,1,984,1954,0,1,0,1
1,1740,800,1,960,1940,780,0,0,1
3,1704,1704,0,1704,2007,0,0,0,1
1,874,864,1,874,1968,0,1,33,1
1,1068,1059,1,1068,1963,0,1,192,1
0,833,833,1,833,1985,0,1,0,1
2,2152,1582,0,1582,2007,570,0,0,1
2,1358,1339,0,1358,1999,0,1,176,1
2,924,672,1,672,1949,252,0,0,1
3,1544,1544,0,1544,2009,0,1,0,1
1,1647,1105,1,1647,1953,0,0,225,1
1,1844,709,1,1157,1900,687,0,84,1
1,838,816,1,838,1918,0,1,0,1
1,1142,468,1,822,1924,320,1,0,1
1,884,884,0,884,1939,0,1,0,1
1,1328,686,1,810,1925,518,1,0,0
2,1506,1494,0,1506,2005,0,0,192,1
1,1632,1240,1,1632,1958,0,0,289,1
2,1575,216,1,1575,1951,0,0,0,1
2,2730,1502,0,1553,1986,1177,0,201,1
1,1456,728,0,728,1915,728,1,0,1
1,992,992,1,992,1967,0,1,204,1
2,1556,727,1,829,1968,727,1,0,1
1,1112,536,1,536,1976,576,1,182,1
1,1656,624,0,1092,1967,564,0,0,1
2,1072,547,1,1072,2005,0,1,0,1
3,1530,1530,0,1530,2004,0,0,144,1
0,660,0,1,660,1947,0,1,0,0
2,1287,1063,1,1287,1959,0,0,364,1
3,1240,1240,0,1240,2006,0,1,140,1
2,1648,1596,0,1648,2007,0,0,162,1
3,1552,1552,0,1552,2005,0,1,144,1
2,1720,1720,0,1720,1996,0,0,240,1
2,1430,1413,0,1430,2001,0,1,0,1
2,2422,1288,1,2422,1954,0,0,0,1
2,1072,547,1,1072,2005,0,1,0,1
1,987,483,1,483,1971,504,1,0,1
2,1664,953,1,953,2000,711,0,100,1
1,1540,1190,1,1040,1955,500,1,0,1
1,988,526,1,526,1973,462,1,120,1
3,1702,1702,0,1702,2008,0,0,0,1
2,1269,1256,0,1269,2004,0,0,146,1
2,1682,804,1,804,1998,878,1,0,1
2,1850,973,0,979,1994,871,0,168,1
0,2229,755,1,929,1912,929,1,0,1
2,1295,1295,1,1295,1968,0,1,0,1
1,1048,1048,1,1048,1956,0,1,0,1
2,1065,1065,1,1065,1960,0,1,74,1
1,1099,1099,1,1099,1995,0,1,278,1
0,970,912,1,970,1992,0,1,80,1
3,2452,1117,0,1132,2004,1320,0,113,1
1,960,960,1,960,1963,0,1,168,1
2,910,105,0,910,1953,0,1,196,1
2,1368,1368,0,1368,2005,0,0,132,1
2,2223,2223,1,2223,1973,0,0,300,1
1,1052,1052,1,1052,1967,0,0,0,1
2,1560,1776,1,1560,1962,0,0,453,1
2,1484,1484,1,1484,1971,0,0,224,1
2,1040,0,1,1040,1950,0,1,0,1
2,1515,789,0,813,2004,702,0,0,1
2,1694,392,1,924,1994,770,0,256,1
2,1174,864,1,1174,1978,0,1,211,1
1,882,0,1,882,1956,0,1,0,1
1,1302,680,1,798,1940,504,0,0,1
2,1572,806,1,806,1995,766,0,0,1
2,733,0,0,733,1952,0,1,0,0
2,925,925,1,925,1963,0,1,203,1
2,1440,1432,0,1440,2003,0,0,185,1
2,1675,1666,0,1675,1999,0,1,165,1
1,816,816,1,816,1983,0,1,330,1
2,1392,689,0,703,2007,689,1,0,1
2,2237,712,1,1375,1980,862,0,305,1
1,1669,1093,1,1093,1924,576,1,0,0
2,1279,1196,1,1279,1977,0,0,238,1
2,864,864,1,864,1970,0,1,96,1
2,1395,723,1,735,1972,660,0,294,1
2,1710,1710,0,1710,2004,0,0,100,1
2,936,936,0,936,1953,0,1,0,0
3,2296,1722,0,1728,2008,568,0,382,1
1,2447,804,1,1699,1919,748,0,272,1
2,1264,1268,1,1264,1960,0,0,0,1
1,888,920,1,888,1961,0,1,0,1
0,788,788,1,788,1941,0,0,0,1
2,1501,744,1,757,1999,744,1,0,1
1,780,780,1,780,1972,0,1,196,1
1,1329,1329,1,1329,1958,0,1,393,1
2,1740,1740,0,1740,1981,0,1,228,1
2,1073,1073,1,1073,1957,0,1,0,1
2,1803,1679,0,1803,1994,0,0,129,1
2,2646,1748,0,2151,1974,495,0,641,1
3,2338,2660,0,2338,2006,0,0,0,1
2,2480,920,1,1240,1940,1240,0,0,1
2,1829,941,0,941,2003,888,0,192,1
2,2673,1043,1,1539,1980,1134,0,178,1
1,1005,1005,1,1005,1956,0,0,0,1
2,1768,884,0,884,2003,884,1,0,1
2,1484,1473,0,1484,2004,0,1,0,1
2,1306,240,1,810,1910,496,1,0,1
4,1368,1288,1,1368,1997,0,1,0,1
2,1732,741,0,977,1985,755,0,192,1
4,1440,1344,0,1440,1993,0,1,288,1
2,1374,384,0,744,2004,630,0,100,1
2,1494,1479,1,1494,1997,0,1,168,1
2,1253,1237,1,1253,1995,0,0,220,1
2,1266,1266,0,1266,2007,0,0,100,1
